"Pattern1","Pattern2","Pattern3","Pattern4","Pattern5","Pattern6","Original_Head"
"PersonX achète un bateau","PersonX achète un bateau parce qu'il est [MASK] .","PersonX achète un bateau parce qu'elle est [MASK] .","PersonX achète un bateau parce qu'il [MASK] .","PersonX achète un bateau parce qu'elle [MASK] .","PersonX achète un bateau pour son [MASK] .","PersonX achète un bateau pour sa [MASK] ."
"PersonX cuisine du poulet","PersonX cuisine du poulet parce qu'il est [MASK] .","PersonX cuisine du poulet parce qu'elle est [MASK] .","PersonX cuisine du poulet parce qu'il [MASK] .","PersonX cuisine du poulet parce qu'elle [MASK] .","PersonX cuisine du poulet pour son [MASK] .","PersonX cuisine du poulet pour sa [MASK] ."
"PersonX trouve des amis","PersonX trouve des amis parce qu'il est [MASK] .","PersonX trouve des amis parce qu'elle est [MASK] .","PersonX trouve des amis parce qu'il [MASK] .","PersonX trouve des amis parce qu'elle [MASK] .","PersonX trouve des amis pour son [MASK] .","PersonX trouve des amis pour sa [MASK] ."
"PersonX invite tout le monde","PersonX invite tout le monde parce qu'il est [MASK] .","PersonX invite tout le monde parce qu'elle est [MASK] .","PersonX invite tout le monde parce qu'il [MASK] .","PersonX invite tout le monde parce qu'elle [MASK] .","PersonX invite tout le monde pour son [MASK] .","PersonX invite tout le monde pour sa [MASK] ."
"PersonX invite des amis","PersonX invite des amis parce qu'il est [MASK] .","PersonX invite des amis parce qu'elle est [MASK] .","PersonX invite des amis parce qu'il [MASK] .","PersonX invite des amis parce qu'elle [MASK] .","PersonX invite des amis pour son [MASK] .","PersonX invite des amis pour sa [MASK] ."
"PersonX travaille bien","PersonX travaille bien parce qu'il est [MASK] .","PersonX travaille bien parce qu'elle est [MASK] .","PersonX travaille bien parce qu'il [MASK] .","PersonX travaille bien parce qu'elle [MASK] .","PersonX travaille bien pour son [MASK] .","PersonX travaille bien pour sa [MASK] ."
"PersonX choisit un combat","PersonX choisit un combat parce qu'il est [MASK] .","PersonX choisit un combat parce qu'elle est [MASK] .","PersonX choisit un combat parce qu'il [MASK] .","PersonX choisit un combat parce qu'elle [MASK] .","PersonX choisit un combat pour son [MASK] .","PersonX choisit un combat pour sa [MASK] ."
"PersonX pointe du doigt","PersonX pointe du doigt parce qu'il est [MASK] .","PersonX pointe du doigt parce qu'elle est [MASK] .","PersonX pointe du doigt parce qu'il [MASK] .","PersonX pointe du doigt parce qu'elle [MASK] .","PersonX pointe du doigt pour son [MASK] .","PersonX pointe du doigt pour sa [MASK] ."
"PersonX publie des photos","PersonX publie des photos parce qu'il est [MASK] .","PersonX publie des photos parce qu'elle est [MASK] .","PersonX publie des photos parce qu'il [MASK] .","PersonX publie des photos parce qu'elle [MASK] .","PersonX publie des photos pour son [MASK] .","PersonX publie des photos pour sa [MASK] ."
"PersonX sonne à la porte","PersonX sonne à la porte parce qu'il est [MASK] .","PersonX sonne à la porte parce qu'elle est [MASK] .","PersonX sonne à la porte parce qu'il [MASK] .","PersonX sonne à la porte parce qu'elle [MASK] .","PersonX sonne à la porte pour son [MASK] .","PersonX sonne à la porte pour sa [MASK] ."
"PersonX jette de la nourriture","PersonX jette de la nourriture parce qu'il est [MASK] .","PersonX jette de la nourriture parce qu'elle est [MASK] .","PersonX jette de la nourriture parce qu'il [MASK] .","PersonX jette de la nourriture parce qu'elle [MASK] .","PersonX jette de la nourriture pour son [MASK] .","PersonX jette de la nourriture pour sa [MASK] ."
"PersonX veut être délégué de classe","PersonX veut être délégué de classe parce qu'il est [MASK] .","PersonX veut être délégué de classe parce qu'elle est [MASK] .","PersonX veut être délégué de classe parce qu'il [MASK] .","PersonX veut être délégué de classe parce qu'elle [MASK] .","PersonX veut être délégué de classe pour son [MASK] .","PersonX veut être délégué de classe pour sa [MASK] ."
"PersonX devient policier","PersonX devient policier parce qu'il est [MASK] .","PersonX devient policier parce qu'elle est [MASK] .","PersonX devient policier parce qu'il [MASK] .","PersonX devient policier parce qu'elle [MASK] .","PersonX devient policier pour son [MASK] .","PersonX devient policier pour sa [MASK] ."
"PersonX supplie et supplia","PersonX supplie et supplia parce qu'il est [MASK] .","PersonX supplie et supplia parce qu'elle est [MASK] .","PersonX supplie et supplia parce qu'il [MASK] .","PersonX supplie et supplia parce qu'elle [MASK] .","PersonX supplie et supplia pour son [MASK] .","PersonX supplie et supplia pour sa [MASK] ."
"PersonX apporte le gâteau","PersonX apporte le gâteau parce qu'il est [MASK] .","PersonX apporte le gâteau parce qu'elle est [MASK] .","PersonX apporte le gâteau parce qu'il [MASK] .","PersonX apporte le gâteau parce qu'elle [MASK] .","PersonX apporte le gâteau pour son [MASK] .","PersonX apporte le gâteau pour sa [MASK] ."
"PersonX appelle le câblodistributeur","PersonX appelle le câblodistributeur parce qu'il est [MASK] .","PersonX appelle le câblodistributeur parce qu'elle est [MASK] .","PersonX appelle le câblodistributeur parce qu'il [MASK] .","PersonX appelle le câblodistributeur parce qu'elle [MASK] .","PersonX appelle le câblodistributeur pour son [MASK] .","PersonX appelle le câblodistributeur pour sa [MASK] ."
"PersonX échange ddes informations sur la compagnie d'assurance","PersonX échange ddes informations sur la compagnie d'assurance parce qu'il est [MASK] .","PersonX échange ddes informations sur la compagnie d'assurance parce qu'elle est [MASK] .","PersonX échange ddes informations sur la compagnie d'assurance parce qu'il [MASK] .","PersonX échange ddes informations sur la compagnie d'assurance parce qu'elle [MASK] .","PersonX échange ddes informations sur la compagnie d'assurance pour son [MASK] .","PersonX échange ddes informations sur la compagnie d'assurance pour sa [MASK] ."
"PersonX trouve une petite amie","PersonX trouve une petite amie parce qu'il est [MASK] .","PersonX trouve une petite amie parce qu'elle est [MASK] .","PersonX trouve une petite amie parce qu'il [MASK] .","PersonX trouve une petite amie parce qu'elle [MASK] .","PersonX trouve une petite amie pour son [MASK] .","PersonX trouve une petite amie pour sa [MASK] ."
"PersonX passe à côté","PersonX passe à côté parce qu'il est [MASK] .","PersonX passe à côté parce qu'elle est [MASK] .","PersonX passe à côté parce qu'il [MASK] .","PersonX passe à côté parce qu'elle [MASK] .","PersonX passe à côté pour son [MASK] .","PersonX passe à côté pour sa [MASK] ."
"PersonX a un petit garçon","PersonX a un petit garçon parce qu'il est [MASK] .","PersonX a un petit garçon parce qu'elle est [MASK] .","PersonX a un petit garçon parce qu'il [MASK] .","PersonX a un petit garçon parce qu'elle [MASK] .","PersonX a un petit garçon pour son [MASK] .","PersonX a un petit garçon pour sa [MASK] ."
"PersonX dîne ensemble","PersonX dîne ensemble parce qu'il est [MASK] .","PersonX dîne ensemble parce qu'elle est [MASK] .","PersonX dîne ensemble parce qu'il [MASK] .","PersonX dîne ensemble parce qu'elle [MASK] .","PersonX dîne ensemble pour son [MASK] .","PersonX dîne ensemble pour sa [MASK] ."
"PersonX aide l'homme","PersonX aide l'homme parce qu'il est [MASK] .","PersonX aide l'homme parce qu'elle est [MASK] .","PersonX aide l'homme parce qu'il [MASK] .","PersonX aide l'homme parce qu'elle [MASK] .","PersonX aide l'homme pour son [MASK] .","PersonX aide l'homme pour sa [MASK] ."
"PersonX invite des amis","PersonX invite des amis parce qu'il est [MASK] .","PersonX invite des amis parce qu'elle est [MASK] .","PersonX invite des amis parce qu'il [MASK] .","PersonX invite des amis parce qu'elle [MASK] .","PersonX invite des amis pour son [MASK] .","PersonX invite des amis pour sa [MASK] ."
"PersonX se fait des amis","PersonX se fait des amis parce qu'il est [MASK] .","PersonX se fait des amis parce qu'elle est [MASK] .","PersonX se fait des amis parce qu'il [MASK] .","PersonX se fait des amis parce qu'elle [MASK] .","PersonX se fait des amis pour son [MASK] .","PersonX se fait des amis pour sa [MASK] ."
"PersonX fait rire les gens","PersonX fait rire les gens parce qu'il est [MASK] .","PersonX fait rire les gens parce qu'elle est [MASK] .","PersonX fait rire les gens parce qu'il [MASK] .","PersonX fait rire les gens parce qu'elle [MASK] .","PersonX fait rire les gens pour son [MASK] .","PersonX fait rire les gens pour sa [MASK] ."
"PersonX est marié depuis 20 ans","PersonX est marié depuis 20 ans parce qu'il est [MASK] .","PersonX est marié depuis 20 ans parce qu'elle est [MASK] .","PersonX est marié depuis 20 ans parce qu'il [MASK] .","PersonX est marié depuis 20 ans parce qu'elle [MASK] .","PersonX est marié depuis 20 ans pour son [MASK] .","PersonX est marié depuis 20 ans pour sa [MASK] ."
"PersonX rencontre de nombreux nouveaux amis","PersonX rencontre de nombreux nouveaux amis parce qu'il est [MASK] .","PersonX rencontre de nombreux nouveaux amis parce qu'elle est [MASK] .","PersonX rencontre de nombreux nouveaux amis parce qu'il [MASK] .","PersonX rencontre de nombreux nouveaux amis parce qu'elle [MASK] .","PersonX rencontre de nombreux nouveaux amis pour son [MASK] .","PersonX rencontre de nombreux nouveaux amis pour sa [MASK] ."
"PersonX joue de la clarinette","PersonX joue de la clarinette parce qu'il est [MASK] .","PersonX joue de la clarinette parce qu'elle est [MASK] .","PersonX joue de la clarinette parce qu'il [MASK] .","PersonX joue de la clarinette parce qu'elle [MASK] .","PersonX joue de la clarinette pour son [MASK] .","PersonX joue de la clarinette pour sa [MASK] ."
"PersonX joue aux jeux vidéo","PersonX joue aux jeux vidéo parce qu'il est [MASK] .","PersonX joue aux jeux vidéo parce qu'elle est [MASK] .","PersonX joue aux jeux vidéo parce qu'il [MASK] .","PersonX joue aux jeux vidéo parce qu'elle [MASK] .","PersonX joue aux jeux vidéo pour son [MASK] .","PersonX joue aux jeux vidéo pour sa [MASK] ."
"PersonX fait une farce","PersonX fait une farce parce qu'il est [MASK] .","PersonX fait une farce parce qu'elle est [MASK] .","PersonX fait une farce parce qu'il [MASK] .","PersonX fait une farce parce qu'elle [MASK] .","PersonX fait une farce pour son [MASK] .","PersonX fait une farce pour sa [MASK] ."
"PersonX est rapidement tombé amoureux","PersonX est rapidement tombé amoureux parce qu'il est [MASK] .","PersonX est rapidement tombé amoureux parce qu'elle est [MASK] .","PersonX est rapidement tombé amoureux parce qu'il [MASK] .","PersonX est rapidement tombé amoureux parce qu'elle [MASK] .","PersonX est rapidement tombé amoureux pour son [MASK] .","PersonX est rapidement tombé amoureux pour sa [MASK] ."
"PersonX s'enfuit de chez lui","PersonX s'enfuit de chez lui parce qu'il est [MASK] .","PersonX s'enfuit de chez lui parce qu'elle est [MASK] .","PersonX s'enfuit de chez lui parce qu'il [MASK] .","PersonX s'enfuit de chez lui parce qu'elle [MASK] .","PersonX s'enfuit de chez lui pour son [MASK] .","PersonX s'enfuit de chez lui pour sa [MASK] ."
"PersonX commence un nouvel emploi","PersonX commence un nouvel emploi parce qu'il est [MASK] .","PersonX commence un nouvel emploi parce qu'elle est [MASK] .","PersonX commence un nouvel emploi parce qu'il [MASK] .","PersonX commence un nouvel emploi parce qu'elle [MASK] .","PersonX commence un nouvel emploi pour son [MASK] .","PersonX commence un nouvel emploi pour sa [MASK] ."
"PersonX dit à Mike","PersonX dit à Mike parce qu'il est [MASK] .","PersonX dit à Mike parce qu'elle est [MASK] .","PersonX dit à Mike parce qu'il [MASK] .","PersonX dit à Mike parce qu'elle [MASK] .","PersonX dit à Mike pour son [MASK] .","PersonX dit à Mike pour sa [MASK] ."
"PersonX organise un dîner","PersonX organise un dîner parce qu'il est [MASK] .","PersonX organise un dîner parce qu'elle est [MASK] .","PersonX organise un dîner parce qu'il [MASK] .","PersonX organise un dîner parce qu'elle [MASK] .","PersonX organise un dîner pour son [MASK] .","PersonX organise un dîner pour sa [MASK] ."
"PersonX veut rompre","PersonX veut rompre parce qu'il est [MASK] .","PersonX veut rompre parce qu'elle est [MASK] .","PersonX veut rompre parce qu'il [MASK] .","PersonX veut rompre parce qu'elle [MASK] .","PersonX veut rompre pour son [MASK] .","PersonX veut rompre pour sa [MASK] ."
"PersonX se confond en excuses","PersonX se confond en excuses parce qu'il est [MASK] .","PersonX se confond en excuses parce qu'elle est [MASK] .","PersonX se confond en excuses parce qu'il [MASK] .","PersonX se confond en excuses parce qu'elle [MASK] .","PersonX se confond en excuses pour son [MASK] .","PersonX se confond en excuses pour sa [MASK] ."
"PersonX pose des questions","PersonX pose des questions parce qu'il est [MASK] .","PersonX pose des questions parce qu'elle est [MASK] .","PersonX pose des questions parce qu'il [MASK] .","PersonX pose des questions parce qu'elle [MASK] .","PersonX pose des questions pour son [MASK] .","PersonX pose des questions pour sa [MASK] ."
"PersonX demande au garçon de sortir","PersonX demande au garçon de sortir parce qu'il est [MASK] .","PersonX demande au garçon de sortir parce qu'elle est [MASK] .","PersonX demande au garçon de sortir parce qu'il [MASK] .","PersonX demande au garçon de sortir parce qu'elle [MASK] .","PersonX demande au garçon de sortir pour son [MASK] .","PersonX demande au garçon de sortir pour sa [MASK] ."
"PersonX devient enseignant","PersonX devient enseignant parce qu'il est [MASK] .","PersonX devient enseignant parce qu'elle est [MASK] .","PersonX devient enseignant parce qu'il [MASK] .","PersonX devient enseignant parce qu'elle [MASK] .","PersonX devient enseignant pour son [MASK] .","PersonX devient enseignant pour sa [MASK] ."
