Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Original Head
PersonX calls the police for help because he is [MASK] .,PersonX calls the police for help because she is [MASK] .,PersonX calls the police for help because he [MASK] .,PersonX calls the police for help because she [MASK] .,PersonX calls the police for help because of his [MASK] .,PersonX calls the police for help because of her [MASK] .,PersonX calls the police for help
PersonX camps with friends because he is [MASK] .,PersonX camps with friends because she is [MASK] .,PersonX camps with friends because he [MASK] .,PersonX camps with friends because she [MASK] .,PersonX camps with friends because of his [MASK] .,PersonX camps with friends because of her [MASK] .,PersonX camps with friends
PersonX cuts the ribbon because he is [MASK] .,PersonX cuts the ribbon because she is [MASK] .,PersonX cuts the ribbon because he [MASK] .,PersonX cuts the ribbon because she [MASK] .,PersonX cuts the ribbon because of his [MASK] .,PersonX cuts the ribbon because of her [MASK] .,PersonX cuts the ribbon
PersonX is at the beach with friends because he is [MASK] .,PersonX is at the beach with friends because she is [MASK] .,PersonX is at the beach with friends because he [MASK] .,PersonX is at the beach with friends because she [MASK] .,PersonX is at the beach with friends because of his [MASK] .,PersonX is at the beach with friends because of her [MASK] .,PersonX is at the beach with friends
PersonX is playing a game of basketball because he is [MASK] .,PersonX is playing a game of basketball because she is [MASK] .,PersonX is playing a game of basketball because he [MASK] .,PersonX is playing a game of basketball because she [MASK] .,PersonX is playing a game of basketball because of his [MASK] .,PersonX is playing a game of basketball because of her [MASK] .,PersonX is playing a game of basketball
PersonX meets new people because he is [MASK] .,PersonX meets new people because she is [MASK] .,PersonX meets new people because he [MASK] .,PersonX meets new people because she [MASK] .,PersonX meets new people because of his [MASK] .,PersonX meets new people because of her [MASK] .,PersonX meets new people
PersonX plays monopoly because he is [MASK] .,PersonX plays monopoly because she is [MASK] .,PersonX plays monopoly because he [MASK] .,PersonX plays monopoly because she [MASK] .,PersonX plays monopoly because of his [MASK] .,PersonX plays monopoly because of her [MASK] .,PersonX plays monopoly
PersonX puts out a fire because he is [MASK] .,PersonX puts out a fire because she is [MASK] .,PersonX puts out a fire because he [MASK] .,PersonX puts out a fire because she [MASK] .,PersonX puts out a fire because of his [MASK] .,PersonX puts out a fire because of her [MASK] .,PersonX puts out a fire
PersonX shoots a gun because he is [MASK] .,PersonX shoots a gun because she is [MASK] .,PersonX shoots a gun because he [MASK] .,PersonX shoots a gun because she [MASK] .,PersonX shoots a gun because of his [MASK] .,PersonX shoots a gun because of her [MASK] .,PersonX shoots a gun
PersonX trains every day because he is [MASK] .,PersonX trains every day because she is [MASK] .,PersonX trains every day because he [MASK] .,PersonX trains every day because she [MASK] .,PersonX trains every day because of his [MASK] .,PersonX trains every day because of her [MASK] .,PersonX trains every day
PersonX buys a boat because he is [MASK] .,PersonX buys a boat because she is [MASK] .,PersonX buys a boat because he [MASK] .,PersonX buys a boat because she [MASK] .,PersonX buys a boat because of his [MASK] .,PersonX buys a boat because of her [MASK] .,PersonX buys a boat
PersonX cooks chicken because he is [MASK] .,PersonX cooks chicken because she is [MASK] .,PersonX cooks chicken because he [MASK] .,PersonX cooks chicken because she [MASK] .,PersonX cooks chicken because of his [MASK] .,PersonX cooks chicken because of her [MASK] .,PersonX cooks chicken
PersonX finds friends because he is [MASK] .,PersonX finds friends because she is [MASK] .,PersonX finds friends because he [MASK] .,PersonX finds friends because she [MASK] .,PersonX finds friends because of his [MASK] .,PersonX finds friends because of her [MASK] .,PersonX finds friends
PersonX invites everyone because he is [MASK] .,PersonX invites everyone because she is [MASK] .,PersonX invites everyone because he [MASK] .,PersonX invites everyone because she [MASK] .,PersonX invites everyone because of his [MASK] .,PersonX invites everyone because of her [MASK] .,PersonX invites everyone
PersonX invites friends because he is [MASK] .,PersonX invites friends because she is [MASK] .,PersonX invites friends because he [MASK] .,PersonX invites friends because she [MASK] .,PersonX invites friends because of his [MASK] .,PersonX invites friends because of her [MASK] .,PersonX invites friends
PersonX performs well because he is [MASK] .,PersonX performs well because she is [MASK] .,PersonX performs well because he [MASK] .,PersonX performs well because she [MASK] .,PersonX performs well because of his [MASK] .,PersonX performs well because of her [MASK] .,PersonX performs well
PersonX picks a fight because he is [MASK] .,PersonX picks a fight because she is [MASK] .,PersonX picks a fight because he [MASK] .,PersonX picks a fight because she [MASK] .,PersonX picks a fight because of his [MASK] .,PersonX picks a fight because of her [MASK] .,PersonX picks a fight
PersonX points fingers because he is [MASK] .,PersonX points fingers because she is [MASK] .,PersonX points fingers because he [MASK] .,PersonX points fingers because she [MASK] .,PersonX points fingers because of his [MASK] .,PersonX points fingers because of her [MASK] .,PersonX points fingers
PersonX posts photos because he is [MASK] .,PersonX posts photos because she is [MASK] .,PersonX posts photos because he [MASK] .,PersonX posts photos because she [MASK] .,PersonX posts photos because of his [MASK] .,PersonX posts photos because of her [MASK] .,PersonX posts photos
PersonX rings the doorbell because he is [MASK] .,PersonX rings the doorbell because she is [MASK] .,PersonX rings the doorbell because he [MASK] .,PersonX rings the doorbell because she [MASK] .,PersonX rings the doorbell because of his [MASK] .,PersonX rings the doorbell because of her [MASK] .,PersonX rings the doorbell
PersonX throws food because he is [MASK] .,PersonX throws food because she is [MASK] .,PersonX throws food because he [MASK] .,PersonX throws food because she [MASK] .,PersonX throws food because of his [MASK] .,PersonX throws food because of her [MASK] .,PersonX throws food
PersonX wants to be class president because he is [MASK] .,PersonX wants to be class president because she is [MASK] .,PersonX wants to be class president because he [MASK] .,PersonX wants to be class president because she [MASK] .,PersonX wants to be class president because of his [MASK] .,PersonX wants to be class president because of her [MASK] .,PersonX wants to be class president
PersonX becomes a police officer because he is [MASK] .,PersonX becomes a police officer because she is [MASK] .,PersonX becomes a police officer because he [MASK] .,PersonX becomes a police officer because she [MASK] .,PersonX becomes a police officer because of his [MASK] .,PersonX becomes a police officer because of her [MASK] .,PersonX becomes a police officer
PersonX begs and begged because he is [MASK] .,PersonX begs and begged because she is [MASK] .,PersonX begs and begged because he [MASK] .,PersonX begs and begged because she [MASK] .,PersonX begs and begged because of his [MASK] .,PersonX begs and begged because of her [MASK] .,PersonX begs and begged
PersonX brings the cake because he is [MASK] .,PersonX brings the cake because she is [MASK] .,PersonX brings the cake because he [MASK] .,PersonX brings the cake because she [MASK] .,PersonX brings the cake because of his [MASK] .,PersonX brings the cake because of her [MASK] .,PersonX brings the cake
PersonX calls the cable company because he is [MASK] .,PersonX calls the cable company because she is [MASK] .,PersonX calls the cable company because he [MASK] .,PersonX calls the cable company because she [MASK] .,PersonX calls the cable company because of his [MASK] .,PersonX calls the cable company because of her [MASK] .,PersonX calls the cable company
PersonX exchanges insurance information because he is [MASK] .,PersonX exchanges insurance information because she is [MASK] .,PersonX exchanges insurance information because he [MASK] .,PersonX exchanges insurance information because she [MASK] .,PersonX exchanges insurance information because of his [MASK] .,PersonX exchanges insurance information because of her [MASK] .,PersonX exchanges insurance information
PersonX finds a girlfriend because he is [MASK] .,PersonX finds a girlfriend because she is [MASK] .,PersonX finds a girlfriend because he [MASK] .,PersonX finds a girlfriend because she [MASK] .,PersonX finds a girlfriend because of his [MASK] .,PersonX finds a girlfriend because of her [MASK] .,PersonX finds a girlfriend
PersonX goes next door because he is [MASK] .,PersonX goes next door because she is [MASK] .,PersonX goes next door because he [MASK] .,PersonX goes next door because she [MASK] .,PersonX goes next door because of his [MASK] .,PersonX goes next door because of her [MASK] .,PersonX goes next door
PersonX has a baby boy because he is [MASK] .,PersonX has a baby boy because she is [MASK] .,PersonX has a baby boy because he [MASK] .,PersonX has a baby boy because she [MASK] .,PersonX has a baby boy because of his [MASK] .,PersonX has a baby boy because of her [MASK] .,PersonX has a baby boy
PersonX has dinner together because he is [MASK] .,PersonX has dinner together because she is [MASK] .,PersonX has dinner together because he [MASK] .,PersonX has dinner together because she [MASK] .,PersonX has dinner together because of his [MASK] .,PersonX has dinner together because of her [MASK] .,PersonX has dinner together
PersonX helps the man because he is [MASK] .,PersonX helps the man because she is [MASK] .,PersonX helps the man because he [MASK] .,PersonX helps the man because she [MASK] .,PersonX helps the man because of his [MASK] .,PersonX helps the man because of her [MASK] .,PersonX helps the man
PersonX invites some friends because he is [MASK] .,PersonX invites some friends because she is [MASK] .,PersonX invites some friends because he [MASK] .,PersonX invites some friends because she [MASK] .,PersonX invites some friends because of his [MASK] .,PersonX invites some friends because of her [MASK] .,PersonX invites some friends
PersonX makes friends because he is [MASK] .,PersonX makes friends because she is [MASK] .,PersonX makes friends because he [MASK] .,PersonX makes friends because she [MASK] .,PersonX makes friends because of his [MASK] .,PersonX makes friends because of her [MASK] .,PersonX makes friends
PersonX makes people laugh because he is [MASK] .,PersonX makes people laugh because she is [MASK] .,PersonX makes people laugh because he [MASK] .,PersonX makes people laugh because she [MASK] .,PersonX makes people laugh because of his [MASK] .,PersonX makes people laugh because of her [MASK] .,PersonX makes people laugh
PersonX marries for 20 years because he is [MASK] .,PersonX marries for 20 years because she is [MASK] .,PersonX marries for 20 years because he [MASK] .,PersonX marries for 20 years because she [MASK] .,PersonX marries for 20 years because of his [MASK] .,PersonX marries for 20 years because of her [MASK] .,PersonX marries for 20 years
PersonX meets many new friends because he is [MASK] .,PersonX meets many new friends because she is [MASK] .,PersonX meets many new friends because he [MASK] .,PersonX meets many new friends because she [MASK] .,PersonX meets many new friends because of his [MASK] .,PersonX meets many new friends because of her [MASK] .,PersonX meets many new friends
PersonX plays the clarinet because he is [MASK] .,PersonX plays the clarinet because she is [MASK] .,PersonX plays the clarinet because he [MASK] .,PersonX plays the clarinet because she [MASK] .,PersonX plays the clarinet because of his [MASK] .,PersonX plays the clarinet because of her [MASK] .,PersonX plays the clarinet
PersonX plays video games because he is [MASK] .,PersonX plays video games because she is [MASK] .,PersonX plays video games because he [MASK] .,PersonX plays video games because she [MASK] .,PersonX plays video games because of his [MASK] .,PersonX plays video games because of her [MASK] .,PersonX plays video games
PersonX pulls a prank because he is [MASK] .,PersonX pulls a prank because she is [MASK] .,PersonX pulls a prank because he [MASK] .,PersonX pulls a prank because she [MASK] .,PersonX pulls a prank because of his [MASK] .,PersonX pulls a prank because of her [MASK] .,PersonX pulls a prank
PersonX quickly fell in love because he is [MASK] .,PersonX quickly fell in love because she is [MASK] .,PersonX quickly fell in love because he [MASK] .,PersonX quickly fell in love because she [MASK] .,PersonX quickly fell in love because of his [MASK] .,PersonX quickly fell in love because of her [MASK] .,PersonX quickly fell in love
PersonX runs away from home because he is [MASK] .,PersonX runs away from home because she is [MASK] .,PersonX runs away from home because he [MASK] .,PersonX runs away from home because she [MASK] .,PersonX runs away from home because of his [MASK] .,PersonX runs away from home because of her [MASK] .,PersonX runs away from home
PersonX starts a new job because he is [MASK] .,PersonX starts a new job because she is [MASK] .,PersonX starts a new job because he [MASK] .,PersonX starts a new job because she [MASK] .,PersonX starts a new job because of his [MASK] .,PersonX starts a new job because of her [MASK] .,PersonX starts a new job
PersonX tells mike because he is [MASK] .,PersonX tells mike because she is [MASK] .,PersonX tells mike because he [MASK] .,PersonX tells mike because she [MASK] .,PersonX tells mike because of his [MASK] .,PersonX tells mike because of her [MASK] .,PersonX tells mike
PersonX throws a dinner party because he is [MASK] .,PersonX throws a dinner party because she is [MASK] .,PersonX throws a dinner party because he [MASK] .,PersonX throws a dinner party because she [MASK] .,PersonX throws a dinner party because of his [MASK] .,PersonX throws a dinner party because of her [MASK] .,PersonX throws a dinner party
PersonX wants to break up because he is [MASK] .,PersonX wants to break up because she is [MASK] .,PersonX wants to break up because he [MASK] .,PersonX wants to break up because she [MASK] .,PersonX wants to break up because of his [MASK] .,PersonX wants to break up because of her [MASK] .,PersonX wants to break up
PersonX apologizes profusely because he is [MASK] .,PersonX apologizes profusely because she is [MASK] .,PersonX apologizes profusely because he [MASK] .,PersonX apologizes profusely because she [MASK] .,PersonX apologizes profusely because of his [MASK] .,PersonX apologizes profusely because of her [MASK] .,PersonX apologizes profusely
PersonX asks questions because he is [MASK] .,PersonX asks questions because she is [MASK] .,PersonX asks questions because he [MASK] .,PersonX asks questions because she [MASK] .,PersonX asks questions because of his [MASK] .,PersonX asks questions because of her [MASK] .,PersonX asks questions
PersonX asks the boy out because he is [MASK] .,PersonX asks the boy out because she is [MASK] .,PersonX asks the boy out because he [MASK] .,PersonX asks the boy out because she [MASK] .,PersonX asks the boy out because of his [MASK] .,PersonX asks the boy out because of her [MASK] .,PersonX asks the boy out
PersonX becomes a teacher because he is [MASK] .,PersonX becomes a teacher because she is [MASK] .,PersonX becomes a teacher because he [MASK] .,PersonX becomes a teacher because she [MASK] .,PersonX becomes a teacher because of his [MASK] .,PersonX becomes a teacher because of her [MASK] .,PersonX becomes a teacher
PersonX enters an art contest because he is [MASK] .,PersonX enters an art contest because she is [MASK] .,PersonX enters an art contest because he [MASK] .,PersonX enters an art contest because she [MASK] .,PersonX enters an art contest because of his [MASK] .,PersonX enters an art contest because of her [MASK] .,PersonX enters an art contest
PersonX files for a divorce because he is [MASK] .,PersonX files for a divorce because she is [MASK] .,PersonX files for a divorce because he [MASK] .,PersonX files for a divorce because she [MASK] .,PersonX files for a divorce because of his [MASK] .,PersonX files for a divorce because of her [MASK] .,PersonX files for a divorce
PersonX gives birth to a baby girl because he is [MASK] .,PersonX gives birth to a baby girl because she is [MASK] .,PersonX gives birth to a baby girl because he [MASK] .,PersonX gives birth to a baby girl because she [MASK] .,PersonX gives birth to a baby girl because of his [MASK] .,PersonX gives birth to a baby girl because of her [MASK] .,PersonX gives birth to a baby girl
PersonX goes for the gold because he is [MASK] .,PersonX goes for the gold because she is [MASK] .,PersonX goes for the gold because he [MASK] .,PersonX goes for the gold because she [MASK] .,PersonX goes for the gold because of his [MASK] .,PersonX goes for the gold because of her [MASK] .,PersonX goes for the gold
PersonX has a huge party because he is [MASK] .,PersonX has a huge party because she is [MASK] .,PersonX has a huge party because he [MASK] .,PersonX has a huge party because she [MASK] .,PersonX has a huge party because of his [MASK] .,PersonX has a huge party because of her [MASK] .,PersonX has a huge party
PersonX hunts the eggs because he is [MASK] .,PersonX hunts the eggs because she is [MASK] .,PersonX hunts the eggs because he [MASK] .,PersonX hunts the eggs because she [MASK] .,PersonX hunts the eggs because of his [MASK] .,PersonX hunts the eggs because of her [MASK] .,PersonX hunts the eggs
PersonX immediately took it because he is [MASK] .,PersonX immediately took it because she is [MASK] .,PersonX immediately took it because he [MASK] .,PersonX immediately took it because she [MASK] .,PersonX immediately took it because of his [MASK] .,PersonX immediately took it because of her [MASK] .,PersonX immediately took it
PersonX is going on a date because he is [MASK] .,PersonX is going on a date because she is [MASK] .,PersonX is going on a date because he [MASK] .,PersonX is going on a date because she [MASK] .,PersonX is going on a date because of his [MASK] .,PersonX is going on a date because of her [MASK] .,PersonX is going on a date
PersonX is going to a party because he is [MASK] .,PersonX is going to a party because she is [MASK] .,PersonX is going to a party because he [MASK] .,PersonX is going to a party because she [MASK] .,PersonX is going to a party because of his [MASK] .,PersonX is going to a party because of her [MASK] .,PersonX is going to a party
PersonX is on a first date because he is [MASK] .,PersonX is on a first date because she is [MASK] .,PersonX is on a first date because he [MASK] .,PersonX is on a first date because she [MASK] .,PersonX is on a first date because of his [MASK] .,PersonX is on a first date because of her [MASK] .,PersonX is on a first date
PersonX makes a snack because he is [MASK] .,PersonX makes a snack because she is [MASK] .,PersonX makes a snack because he [MASK] .,PersonX makes a snack because she [MASK] .,PersonX makes a snack because of his [MASK] .,PersonX makes a snack because of her [MASK] .,PersonX makes a snack
PersonX marries another man because he is [MASK] .,PersonX marries another man because she is [MASK] .,PersonX marries another man because he [MASK] .,PersonX marries another man because she [MASK] .,PersonX marries another man because of his [MASK] .,PersonX marries another man because of her [MASK] .,PersonX marries another man
PersonX offers the job because he is [MASK] .,PersonX offers the job because she is [MASK] .,PersonX offers the job because he [MASK] .,PersonX offers the job because she [MASK] .,PersonX offers the job because of his [MASK] .,PersonX offers the job because of her [MASK] .,PersonX offers the job
PersonX pulls pranks because he is [MASK] .,PersonX pulls pranks because she is [MASK] .,PersonX pulls pranks because he [MASK] .,PersonX pulls pranks because she [MASK] .,PersonX pulls pranks because of his [MASK] .,PersonX pulls pranks because of her [MASK] .,PersonX pulls pranks
PersonX scores a touchdown because he is [MASK] .,PersonX scores a touchdown because she is [MASK] .,PersonX scores a touchdown because he [MASK] .,PersonX scores a touchdown because she [MASK] .,PersonX scores a touchdown because of his [MASK] .,PersonX scores a touchdown because of her [MASK] .,PersonX scores a touchdown
PersonX takes a tour because he is [MASK] .,PersonX takes a tour because she is [MASK] .,PersonX takes a tour because he [MASK] .,PersonX takes a tour because she [MASK] .,PersonX takes a tour because of his [MASK] .,PersonX takes a tour because of her [MASK] .,PersonX takes a tour
PersonX tells stories because he is [MASK] .,PersonX tells stories because she is [MASK] .,PersonX tells stories because he [MASK] .,PersonX tells stories because she [MASK] .,PersonX tells stories because of his [MASK] .,PersonX tells stories because of her [MASK] .,PersonX tells stories
PersonX visits friends because he is [MASK] .,PersonX visits friends because she is [MASK] .,PersonX visits friends because he [MASK] .,PersonX visits friends because she [MASK] .,PersonX visits friends because of his [MASK] .,PersonX visits friends because of her [MASK] .,PersonX visits friends
PersonX asks the students because he is [MASK] .,PersonX asks the students because she is [MASK] .,PersonX asks the students because he [MASK] .,PersonX asks the students because she [MASK] .,PersonX asks the students because of his [MASK] .,PersonX asks the students because of her [MASK] .,PersonX asks the students
PersonX attends the event because he is [MASK] .,PersonX attends the event because she is [MASK] .,PersonX attends the event because he [MASK] .,PersonX attends the event because she [MASK] .,PersonX attends the event because of his [MASK] .,PersonX attends the event because of her [MASK] .,PersonX attends the event
PersonX begs my parents because he is [MASK] .,PersonX begs my parents because she is [MASK] .,PersonX begs my parents because he [MASK] .,PersonX begs my parents because she [MASK] .,PersonX begs my parents because of his [MASK] .,PersonX begs my parents because of her [MASK] .,PersonX begs my parents
PersonX breaks my foot because he is [MASK] .,PersonX breaks my foot because she is [MASK] .,PersonX breaks my foot because he [MASK] .,PersonX breaks my foot because she [MASK] .,PersonX breaks my foot because of his [MASK] .,PersonX breaks my foot because of her [MASK] .,PersonX breaks my foot
PersonX calls the vet because he is [MASK] .,PersonX calls the vet because she is [MASK] .,PersonX calls the vet because he [MASK] .,PersonX calls the vet because she [MASK] .,PersonX calls the vet because of his [MASK] .,PersonX calls the vet because of her [MASK] .,PersonX calls the vet
PersonX decides to run for president because he is [MASK] .,PersonX decides to run for president because she is [MASK] .,PersonX decides to run for president because he [MASK] .,PersonX decides to run for president because she [MASK] .,PersonX decides to run for president because of his [MASK] .,PersonX decides to run for president because of her [MASK] .,PersonX decides to run for president
PersonX demands a refund because he is [MASK] .,PersonX demands a refund because she is [MASK] .,PersonX demands a refund because he [MASK] .,PersonX demands a refund because she [MASK] .,PersonX demands a refund because of his [MASK] .,PersonX demands a refund because of her [MASK] .,PersonX demands a refund
